id,Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
270,"LANG, Mr Fang",17,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,14*
271,"LAROCHE, Mrs Juliette Marie Louise",22,2nd Class Passenger,2123£41 11s 7d,Cherbourg,,10*
272,"LAROCHE, Miss Louise",1,2nd Class Passenger,2123£41 11s 7d,Cherbourg,,10*
273,"LAROCHE, Miss Simonne Marie Anne Andrée",3,2nd Class Passenger,2123£41 11s 7d,Cherbourg,,10*
274,"LEADER, Dr Alice May",49,1st Class Passenger,17465£25 18s 7d,Southampton,Doctor,8
275,"LEHMANN, Miss Bertha",17,2nd Class Passenger,1748£12,Cherbourg,,12
276,"LEITCH, Miss Jessie Wills",31,2nd Class Passenger,248727£33,Southampton,,11
277,"LEMORE, Mrs Amelia",46,2nd Class Passenger,34260£10 10s,Southampton,,14
278,"LEROY, Miss Berthe",27,1st Class PassengerServant,17761£106 8s 6d,Cherbourg,Personal Maid,2
279,"LESUEUR, Mr Louis Gustave Joseph",35,1st Class PassengerServant,17755£512 6s 7d,Cherbourg,Servant,3
280,"LINDQVIST, Mr Eino William",20,3rd Class Passenger,3101285£7 18s 6d,Southampton,,
281,"LINDSTRÖM, Mrs Sigrid",55,1st Class Passenger,112377£27 14s 5d,Cherbourg,,
282,"LINES, Mrs Elizabeth Lindsey",50,1st Class Passenger,17592£39 8s,Cherbourg,,9
283,"LINES, Miss Mary Conover",16,1st Class Passenger,17592£39 8s,Cherbourg,,9
284,"LONGLEY, Miss Gretchen Fiske",21,1st Class Passenger,13502£77 19s 2d,Cherbourg,,10
285,"LOUCH, Mrs Alice Adelaide",42,2nd Class Passenger,3085£26,Southampton,,12*
286,"LULIĆ, Mr Nikola",29,3rd Class Passenger,315098£8 13s 3d,Southampton,,
287,"LUNDIN, Miss Olga Elida",23,3rd Class Passenger,347469£7 17s 1d,Southampton,,
288,"LUNDSTRÖM, Mr Thure Edvin",32,3rd Class Passenger,350403£7 11s 7d,Southampton,,
289,"LURETTE, Miss Eugénie Elise",59,1st Class PassengerServant,17569£146 10s 5d,Cherbourg,Personal Maid,
290,"MADIGAN, Miss Margaret",21,3rd Class Passenger,370370£7 15s,Queenstown,,
291,"MADILL, Miss Georgette Alexandra",16,1st Class Passenger,24160£211 6s 9d,Southampton,,2
292,"MADSEN, Mr Fridtjof Arne",24,3rd Class Passenger,17369£7 2s 10d,Southampton,,13
293,"MAIONI, Miss Roberta Elizabeth Mary",20,1st Class PassengerServant,110152£86 10s,Southampton,Personal Maid,8
294,"MALLET, Mrs Antonine Marie",24,2nd Class Passenger,2079£37 1d,Cherbourg,,
295,"MALLET, Master André Clement",1,2nd Class Passenger,2079£37 1d,Cherbourg,,
296,"MĀMĀ, Mr Hannā Mikā'īl",20,3rd Class Passenger,2677£7 4s 7d,Cherbourg,,
297,"MANNION, Miss Margaret",28,3rd Class Passenger,36866£7 14s 9d,Queenstown,,
298,"MARÉCHAL, Mr Pierre",29,1st Class Passenger,11774£29 14s,Cherbourg,Aviator,7
299,"MARVIN, Mrs Mary Graham Carmichael",18,1st Class Passenger,113773£53 2s,Southampton,,
300,"MAYNÉ, Mlle Berthe Antonine",24,1st Class Passenger,17482£49 10s 1d,Cherbourg,Singer,6*
301,"MCCARTHY, Miss Catherine",24,3rd Class Passenger,383123£7 15s,Queenstown,Domestic Servant,15*
302,"MCCORMACK, Mr Thomas Joseph",19,3rd Class Passenger,367228£7 15s,Queenstown,Barman,
303,"MCCOY, Miss Agnes",29,3rd Class Passenger,367226£23 5s,Queenstown,,
304,"MCCOY, Miss Alice",26,3rd Class Passenger,367226£23 5s,Queenstown,,
305,"MCCOY, Mr Bernard",24,3rd Class Passenger,367226£23 5s,Queenstown,General Labourer,
306,"MCDERMOTT, Miss Bridget Delia",31,3rd Class Passenger,330932£7 15s 8d,Queenstown,,
307,"MCGOUGH, Mr James Robert",35,1st Class Passenger,17473£26 5s 9d,Southampton,Buyer,7
308,"MCGOVERN, Miss Mary",20,3rd Class Passenger,330931£7 17s 7d,Queenstown,,
309,"MCGOWAN, Miss Anna Louise",17,3rd Class Passenger,330923£8 7d,Queenstown,,
310,"MELLINGER, Mrs Elizabeth Anne",42,2nd Class Passenger,250644£19 10s,Southampton,Servant,14
311,"MELLINGER, Miss Violet Madeline",13,2nd Class Passenger,250644£19 10s,Southampton,,14
312,"MELLORS, Mr William John",19,2nd Class Passenger,SW/PP 751£10 10s,Southampton,Salesman,A
313,"MEYER, Mrs Leila",25,1st Class Passenger,17604£82 3s 5d,Cherbourg,,6
314,"MIDTSJØ, Mr Karl Albert",21,3rd Class Passenger,345501£7 15s 6d,Southampton,Farmer,15*
315,"MINAHAN, Mrs Lillian Mae",37,1st Class Passenger,19928£90,Queenstown,,14
316,"MINAHAN, Miss Ida Daisy",33,1st Class Passenger,19928£90,Queenstown,,14
317,"MOCK, Mr Philipp Edmund",30,1st Class Passenger,13236£57 15s,Cherbourg,,11
318,"MOCKLER, Miss Ellen Mary",23,3rd Class Passenger,330980£7 17s 7d,Queenstown,,
319,"MOOR, Mrs Beila",29,3rd Class Passenger,392096£12 9s 6d,Southampton,Tailor,
320,"MOOR, Master Meier",7,3rd Class Passenger,392096£12 9s 6d,Southampton,,
321,"MORAN, Miss Bridget (Bertha)",28,3rd Class Passenger,371110£24 3s,Queenstown,,15
322,"MOSS, Mr Albert Johan",29,3rd Class Passenger,312991£7 15s 6d,Southampton,Seaman,
323,"MUBĀRIK, Mrs Amīnah",25,3rd Class Passenger,2661£15 4s 11d,Cherbourg,,14*
324,"MUBĀRIK, Master Jirjis",7,3rd Class Passenger,2661£15 4s 11d,Cherbourg,,14*
325,"MUBĀRIK, Master Halīm",4,3rd Class Passenger,2661£15 4s 11d,Cherbourg,,14*
326,"MULLIN, Miss Kate",21,3rd Class Passenger,35852£7 14s 8d,Queenstown,,
327,"MULVIHILL, Miss Bridget Elizabeth (Bertha)",25,3rd Class Passenger,382653£7 15s,Queenstown,,10*
328,"MURPHY, Miss Nora",31,3rd Class Passenger,36568£15 10s,Queenstown,,
329,"MURPHY, Miss Margaret",25,3rd Class Passenger,367230£15 10s,Queenstown,,
330,"MURPHY, Miss Kate",18,3rd Class Passenger,367230£15 10s,Queenstown,,
331,"MŪSÀ FRANJĪYAH, Mrs Mantūrah Būlus",52,3rd Class Passenger,2626£7 4s 7d,Cherbourg,Housewife,
332,"MUSLAMĀNĪ, Mrs Fatīmah Muhammad",22,3rd Class Passenger,2649£7 4s 6d,Cherbourg,,
333,"NAJĪB QIYĀMAH, Miss Adāl",15,3rd Class Passenger,2667£7 4s 6d,Cherbourg,,
334,"NAKID, Mr Sa'īd Antūn",20,3rd Class Passenger,2653£15 14s 10d,Cherbourg,,
335,"NAKID, Mrs Wadi'ah",19,3rd Class Passenger,2653£15 14s 10d,Cherbourg,,
336,"NAKID, Miss Mariayam",1,3rd Class Passenger,2653£15 14s 10d,Cherbourg,,
337,"NAṢR ALLĀH, Mrs Adāl",17,2nd Class Passenger,237736£30 1s 5d,Cherbourg,,
338,"NAṢR ALLĀH, Mrs Zād",45,3rd Class Passenger,2696£7 4s 6d,Cherbourg,,
339,"NAVRATIL, Master Edmond Roger",2,2nd Class Passenger,230080£26,Southampton,,
340,"NAVRATIL, Master Michel Marcel",3,2nd Class Passenger,230080£26,Southampton,,
341,"NEWELL, Miss Marjorie Anne",23,1st Class Passenger,35273£113 5s 6d,Cherbourg,,6*
342,"NEWELL, Miss Madeleine",31,1st Class Passenger,35273£113 5s 6d,Cherbourg,,6*
343,"NEWSOM, Miss Helen Monypeny",19,1st Class Passenger,11752£26 5s 8d,Southampton,,5
344,"NILSSON, Miss Berta Olivia",18,3rd Class Passenger,347066£7 15s 6d,Southampton,,
345,"NILSSON, Miss Helmina Josefina",26,3rd Class Passenger,347470£7 17s 1d,Southampton,,13*
346,"NĪQŪLA YĀRID, Miss Jamīlah",14,3rd Class Passenger,2651£11 4s 10d,Cherbourg,,
347,"NĪQŪLA YĀRID, Master Ilyās",11,3rd Class Passenger,2651£11 4s 10d,Cherbourg,,
348,"NISKANEN, Mr Juho",42,3rd Class Passenger,3101289£7 18s 6d,Southampton,,
349,"NOURNEY, Mr Alfred",20,1st Class Passenger,2166£13 17s 3d,Cherbourg,Gentleman,7
350,"NYE, Mrs Elizabeth",29,2nd Class Passenger,29395£10 10s,Southampton,,11
351,"NYSTEN, Miss Anna Sofia",22,3rd Class Passenger,347081£7 15s,Southampton,,13
352,"O'BRIEN, Mrs Hannah",27,3rd Class Passenger,370365£15 10s,Queenstown,Housewife,
353,"O'DWYER, Miss Ellen",22,3rd Class Passenger,330959£7 17s 7d,Queenstown,,10
354,"O'KEEFFE, Mr Patrick",21,3rd Class Passenger,368402£7 15s,Queenstown,Porter,B*
355,"O'LEARY, Miss Hanora",16,3rd Class Passenger,330919£7 16s 7d,Queenstown,,
356,"ÖHMAN, Miss Velin Matilda",22,3rd Class Passenger,347085£7 15s 6d,Southampton,,
357,"OLIVA Y OCANA, Doña Fermina",39,1st Class PassengerServant,17758£108 18s,Cherbourg,Personal Maid,8
358,"OLSEN, Master Artur Karl",9,3rd Class Passenger,17368£3 3s 5d,Southampton,,13
359,"OMONT, Mr Alfred Fernand",29,1st Class Passenger,12998£25 14s 10d,Cherbourg,Dealer,7
360,"OSMAN, Mrs Mara",31,3rd Class Passenger,349244£8 13s 8d,Southampton,,
361,"OSTBY, Miss Helen Ragnhild",22,1st Class Passenger,113509£61 19s 7d,Southampton,,5
362,"OXENHAM, Mr Percy Thomas",22,2nd Class Passenger,14260£10 10s,Southampton,Mason,13
363,"PADRON MANENT, Mr Julian",26,2nd Class Passenger,2146£13 17s 3d,Cherbourg,Chauffeur,9*
364,"PALLÀS I CASTELLÓ, Mr Emilio",29,2nd Class Passenger,2147£13 17s 2d,Cherbourg,,9*
365,"PALMQUIST, Mr Oskar Leander Johansson",26,3rd Class Passenger,347070£7 15s 6d,Southampton,,
366,"PARRISH, Mrs Lutie Davis",59,2nd Class Passenger,230433£26,Southampton,,12
367,"PEARS, Mrs Edith",22,1st Class Passenger,113776£66 12s,Southampton,,8
368,"PEÑASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo",22,1st Class Passenger,17758£108 18s,Cherbourg,Of Independent Means,8
369,"PERREAULT, Miss Mary Anne",33,1st Class PassengerServant,12749£93 10s,Southampton,Personal Maid,3*
370,"PERSSON, Mr Ernst Ulrik",25,3rd Class Passenger,347083£7 15s 6d,Southampton,Chauffeur,
371,"PEUCHEN, Major Arthur Godfrey",52,1st Class Passenger,113786£30 10s,Southampton,,6
372,"PHILLIPS, Miss Alice Frances Louisa",21,2nd Class Passenger,2£21,Southampton,,12
373,"PHILLIPS, Miss Kate Florence",19,2nd Class Passenger,250655£26,Southampton,,
374,"PICARD, Mr Benoît",33,3rd Class Passenger,392078£8 1s,Southampton,Leather Worker,9*
375,"PINSKY, Mrs Rosa",32,2nd Class Passenger,234604£13,Southampton,,9*
376,"PORTALUPPI, Mr Emilio Ilario Giuseppe",30,2nd Class Passenger,34644£12 14s 9d,Cherbourg,,
377,"POTTER, Mrs Lily Alexenia",56,1st Class Passenger,11767£83 3s 2d,Cherbourg,,7
378,"QUICK, Mrs Jane",33,2nd Class Passenger,26360£26,Southampton,,11
379,"QUICK, Miss Winnifred Vera",8,2nd Class Passenger,26360£26,Southampton,,11
380,"QUICK, Miss Phyllis May",2,2nd Class Passenger,26360£26,Southampton,,11
381,"RENOUF, Mrs Lillian",30,2nd Class Passenger,31027£21,Southampton,,12*
382,"REYNALDO, Mrs Encarnación",29,2nd Class Passenger,230434£13,Southampton,,
383,"RHEIMS, Mr George Alexander Lucien",33,1st Class Passenger,17607£39 12s,Cherbourg,Businessman,A
384,"RICHARDS, Mrs Emily",24,2nd Class Passenger,29106£18 15s,Southampton,,
385,"RICHARDS, Master William Rowe",3,2nd Class Passenger,29106£18 15s,Southampton,,
386,"RICHARDS, Master Sibley George",9m,2nd Class Passenger,29106£18 15s,Southampton,,
387,"RIDSDALE, Miss Lucy",58,2nd Class Passenger,14258£10 10s,Southampton,,
388,"RIORDAN, Miss Hannah",21,3rd Class Passenger,334915£7 14s 5d,Queenstown,,
389,"ROBERT, Mrs Elisabeth Walton",43,1st Class Passenger,24160£211 6s 9d,Southampton,Of Independent Means,2
390,"ROMAINE, Mr Charles Hallace",45,1st Class Passenger,111428£26 11s,Southampton,Stockbroker,
391,"ROSENBAUM, Miss Edith Louise",32,1st Class Passenger,17613£27 14s 5d,Cherbourg,Journalist,11
392,"ROTH, Miss Sarah",26,3rd Class Passenger,342712£8 1s,Southampton,Tailor,C
393,"ROTHES, Lucy Noël Martha, Countess of",33,1st Class Passenger,110152£86 10s,Southampton,Of Independent Means,8
394,"ROTHSCHILD, Mrs Elizabeth Jane Anne",54,1st Class Passenger,17603£59 8s,Cherbourg,,6
395,"RUGG, Miss Emily",22,2nd Class Passenger,31026£10 10s,Southampton,,12
396,"RYAN, Mr Edward",24,3rd Class Passenger,383162£7 15s,Queenstown,General Labourer,
397,"RYERSON, Mrs Emily Maria",48,1st Class Passenger,17608£262 7s 6d,Cherbourg,,4
398,"RYERSON, Miss Emily Borie",18,1st Class Passenger,17608£262 7s 6d,Cherbourg,,4
399,"RYERSON, Miss Susan Parker",21,1st Class Passenger,17608£262 7s 6d,Cherbourg,,4
400,"RYERSON, Master John Borie",13,1st Class Passenger,17608£262 7s 6d,Cherbourg,,4
401,"SAALFELD, Mr Adolphe",47,1st Class Passenger,19988£30 10s,Southampton,Businessman,
402,"SÄGESSER, Mlle Emma",24,1st Class PassengerServant,17477£69 6s,Cherbourg,Personal Maid,9
403,"SALKJELSVIK, Miss Anna Kristine",21,3rd Class Passenger,343120£7 13s,Southampton,,C*
404,"SALOMON, Mr Abraham Lincoln",43,1st Class Passenger,111163£26,Southampton,Businessman,1
405,"SANDSTRÖM, Mrs Agnes Charlotta",24,3rd Class Passenger,9549£16 14s,Southampton,,13
406,"SANDSTRÖM, Miss Beatrice Irene",1,3rd Class Passenger,9549£16 14s,Southampton,,13
407,"SANDSTRÖM, Miss Marguerite Rut",4,3rd Class Passenger,9549£16 14s,Southampton,,13
408,"SAP, Mr Julius",21,3rd Class Passenger,345768£9 10s,Southampton,,
409,"SCHABERT, Mrs Emma",35,1st Class Passenger,13236£57 15s,Cherbourg,,11
410,"SCHEERLINCK, Mr Jean",29,3rd Class Passenger,345779£9 10s,Southampton,,
411,"SERREPLAÀ, Miss Augusta Jeanne",30,1st Class PassengerServant,113798£31,Southampton,Personal Maid,4
412,"SEWARD, Mr Frederic Kimber",34,1st Class Passenger,113794£26 11s,Southampton,Lawyer,7
413,"SHELLEY, Mrs Imanita Parrish",24,2nd Class Passenger,230433£26,Southampton,,12
414,"SHINE, Miss Ellen",20,3rd Class Passenger,330968£7 16s 7d,Queenstown,,
415,"SHUTES, Miss Elizabeth Weed",40,1st Class PassengerServant,17582£153 9s 3d,Southampton,Governess,3*
416,"SILVÉN, Miss Lyyli Karoliina",17,2nd Class Passenger,250652£13,Southampton,,12
417,"SILVERTHORNE, Mr Spencer Victor",35,1st Class Passenger,17475£26 5s 9d,Southampton,,5
418,"SILVEY, Mrs Alice Gray",39,1st Class Passenger,13507£55 18s,Cherbourg,,11
419,"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons",56,1st Class Passenger,13213£35 10s,Southampton,Banker,3*
420,"SINCOCK, Miss Maude",20,2nd Class Passenger,33112£36 15s,Southampton,,
421,"SINKKONEN, Miss Anna",30,2nd Class Passenger,250648£13,Southampton,,
422,"SJÖBLOM, Miss Anna Sofia",18,3rd Class Passenger,3101265£6 9s 11d,Southampton,,
423,"SLAYTER, Miss Hilda Mary",30,2nd Class Passenger,234818£12 7s,Queenstown,,13
424,"SLOPER, Mr William Thompson",28,1st Class Passenger,113788£35 10s,Southampton,Stockbroker,7
425,"SMITH, Mrs Mary Eloise",18,1st Class Passenger,13695£60,Cherbourg,,6
426,"SMITH, Miss Marion",49,2nd Class Passenger,31418£13,Southampton,,
427,"SMYTH, Miss Julia",18,3rd Class Passenger,335432£7 14s 8d,Queenstown,,13*
428,"SNYDER, Mr John Pillsbury",24,1st Class Passenger,21228£82 5s 4d,Southampton,,7
429,"SNYDER, Mrs Nelle",23,1st Class Passenger,21228£82 5s 4d,Southampton,,7
430,"SPEDDEN, Mr Frederic Oakley",45,1st Class Passenger,16966£134 10s,Cherbourg,,3
431,"SPEDDEN, Mrs Margaretta Corning",39,1st Class Passenger,16966£134 10s,Cherbourg,,3
432,"SPEDDEN, Master Robert Douglas",6,1st Class Passenger,16966£134 10s,Cherbourg,,3
433,"SPENCER, Mrs Marie Eugenie",48,1st Class Passenger,17569£146 10s 5d,Cherbourg,,
434,"STÄHELIN-MAEGLIN, Dr Max",32,1st Class Passenger,13214£30 10s,Southampton,Lawyer,3*
435,"STANLEY, Miss Amy Zillah Elsie",24,3rd Class Passenger,2314£7 11s,Southampton,Servant,15*
436,"STENGEL, Mr Charles Emil Henry",54,1st Class Passenger,11778£55 8s 10d,Cherbourg,Businessman,1
437,"STENGEL, Mrs Annie May",43,1st Class Passenger,11778£55 8s 10d,Cherbourg,,5
438,"STEPHENSON, Mrs Martha",52,1st Class Passenger,36947£78 5s 4d,Cherbourg,,4
439,"STONE, Mrs Martha Evelyn",61,1st Class Passenger,113572£80,Southampton,,6
440,"STRANDÉN, Mr Juho Niilosson",30,3rd Class Passenger,3101288£7 18s 6d,Southampton,,
441,"SUNDERLAND, Mr Victor Francis",20,3rd Class Passenger,392089£8 1s,Southampton,Farmer,B
442,"SUNDMAN, Mr Johan Julian",45,3rd Class Passenger,3101269£7 18s 6d,Southampton,,15
443,"SVENSSON, Mr Johan Cervin",14,3rd Class Passenger,7538£9 4s 6d,Southampton,,16*
444,"SWIFT, Mrs Margaret Welles",46,1st Class Passenger,17466£25 18s 7d,Southampton,,8
445,"TANNŪS, Mrs Thamīn",16,3rd Class Passenger,2625£8 10s 4d,Cherbourg,,
446,"TANNŪS, Master As'ad",5m,3rd Class Passenger,2625£8 10s 4d,Cherbourg,,
447,"TAUSSIG, Mrs Tillie",39,1st Class Passenger,110413£79 13s,Southampton,,8
448,"TAUSSIG, Miss Ruth",18,1st Class Passenger,110413£79 13s,Southampton,,8
449,"TAYLOR, Mr Elmer Zebley",48,1st Class Passenger,19996£52,Southampton,Manufacturer,
450,"TAYLOR, Mrs Juliet Cummins",49,1st Class Passenger,19996£52,Southampton,,
451,"TENGLIN, Mr Gunnar Isidor",25,3rd Class Passenger,350033£7 15s 11d,Southampton,,13*
452,"THAYER, Mrs Marian Longstreth",39,1st Class Passenger,17421£110 17s 8d,Cherbourg,,4
453,"THAYER, Mr John Borland",17,1st Class Passenger,17421£110 17s 8d,Cherbourg,Scholar,B
454,"THORNE, Miss Gertrude Mabelle",37,1st Class Passenger,17585£80 4d,Cherbourg,,D
455,"THORNEYCROFT, Mrs Florence Kate",32,3rd Class Passenger,376564£16 2s,Southampton,,10*
456,"TOOMEY, Miss Ellen Mary",50,2nd Class Passenger,13531£10 10s,Southampton,Servant,9
457,"TÖRNQVIST, Mr Johan Vilhelm Henrik",26,3rd Class Passenger,370160,Southampton,Seaman,
458,"TROUT, Mrs Jessie Laird",27,2nd Class Passenger,240929£12 13s,Southampton,,9
459,"TROUTT, Miss Edwina Celia",27,2nd Class Passenger,34218£10 10s,Southampton,,
460,"TU'MAH, Mrs Hinnah",27,3rd Class Passenger,2650£15 4s 11d,Cherbourg,,
461,"TU'MAH, Miss Mariyam",9,3rd Class Passenger,2650£15 4s 11d,Cherbourg,,
462,"TU'MAH, Master Jirjis Yūsuf",8,3rd Class Passenger,2650£15 4s 11d,Cherbourg,,
463,"TUCKER, Mr Gilbert Milligan jr",31,1st Class Passenger,2543£28 10s 9d,Cherbourg,,7
464,"TURJA, Miss Anna Sofia",18,3rd Class Passenger,4138£9 16s 10d,Southampton,,
465,"TURKULA, Mrs Hedwig",64,3rd Class Passenger,4134£9 11s 9d,Southampton,,
466,"VARTANIAN, Mr David",22,3rd Class Passenger,2658£7 4s 6d,Cherbourg,,
467,"WALLCROFT, Miss Ellen 'Nellie'",36,2nd Class Passenger,13528£21,Southampton,Cook,14
468,"WARD, Miss Annie Moore",37,1st Class PassengerServant,17755£512 6s 7d,Cherbourg,Personal Maid,3
469,"WARE, Mrs Florence Louise",32,2nd Class Passenger,31352£21,Southampton,,10
470,"WARREN, Mrs Anna Sophia",60,1st Class Passenger,110813£75 5s,Cherbourg,,5
471,"WATT, Mrs Elizabeth",40,2nd Class Passenger,33595£15 15s,Southampton,,9
472,"WATT, Miss Robertha Josephine",12,2nd Class Passenger,33595£15 15s,Southampton,,9
473,"WEBBER, Miss Susan",38,2nd Class Passenger,27267£13,Southampton,,10
474,"WEISZ, Mrs Mathilde Françoise",37,2nd Class Passenger,228414£26,Southampton,,
475,"WELLS, Mrs Addie Dart",29,2nd Class Passenger,29103£23,Southampton,,
476,"WELLS, Miss Joan",4,2nd Class Passenger,29103£23,Southampton,,
477,"WELLS, Master Ralph Lester",2,2nd Class Passenger,29103£23,Southampton,,14*
478,"WENNERSTRÖM, Mr August",27,3rd Class Passenger,350043£7 15s 11d,Southampton,,A
479,"WEST, Mrs Ada Mary",33,2nd Class Passenger,34651£27 15s,Southampton,,11
480,"WEST, Miss Constance Miriam",4,2nd Class Passenger,34651£27 15s,Southampton,,11
481,"WEST, Miss Barbara Joyce",10m,2nd Class Passenger,34651£27 15s,Southampton,,11
482,"WHILEMS, Mr Charles",31,2nd Class Passenger,244270£13,Southampton,Factory Foreman,9
483,"WHITE, Mrs Ella Holmes",55,1st Class Passenger,17760£135 12s 8d,Cherbourg,,8
484,"WICK, Mrs Mary Peebles",45,1st Class Passenger,36928£164 17s 4d,Southampton,,8
485,"WICK, Miss Mary Natalie",31,1st Class Passenger,36928£164 17s 4d,Southampton,,8
486,"WIDENER, Mrs Eleanor",50,1st Class Passenger,113503£211 10s,Southampton,,4
487,"WILKES, Mrs Ellen",47,3rd Class Passenger,363272£7,Southampton,,
488,"WILKINSON, Mrs Elizabeth Anne",30,2nd Class Passenger,2926£26,Southampton,,
489,"WILLARD, Miss Constance",21,1st Class Passenger,113795£26 11s,Southampton,,
490,"WILLIAMS, Mr Richard Norris",21,1st Class Passenger,17597£61 7s 7d,Cherbourg,Sportsman,A
491,"WILLIAMS, Mr Charles Eugene",23,2nd Class Passenger,244373£13,Southampton,Sportsman,14
492,"WILSON, Miss Helen Alice",33,1st Class PassengerServant,16966£134 10s,Cherbourg,Personal Maid,3
493,"WOOLNER, Mr Hugh",45,1st Class Passenger,19947£35 10s,Southampton,Businessman,D
494,"WRIGHT, Miss Marion",26,2nd Class Passenger,220844£13 10s,Southampton,,9*
495,"YAZBAK, Mrs Sīlānah Iskandar Nāsīf Abī Dāghir",17,3rd Class Passenger,2659£14 9s 1d,Cherbourg,,
496,"YOUNG, Miss Marie Grice",36,1st Class Passenger,17760£135 12s 8d,Cherbourg,,8
497,"YŪSUF, Mrs Kātrīn",23,3rd Class Passenger,2668£22 7s 2d,Cherbourg,,
498,"YŪSUF, Master Michael (Shafīq) Peter",4,3rd Class Passenger,2668£22 7s 2d,Cherbourg,,
499,"YŪSUF, Miss Nabīah (Mary)",2,3rd Class Passenger,2668£22 7s 2d,Cherbourg,,
0,"ABBING, Mr Anthony",41,3rd Class Passenger,5547£7 11s,Southampton,Blacksmith,
1,"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673£20 5s,Southampton,Jeweller,[190]
2,"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673£20 5s,Southampton,Scholar,
3,"ABBOTT, Mr Ernest Owen",21,Victualling Crew,,Southampton,Lounge Pantry Steward,
4,"ABELSON, Mr Samuel",30,2nd Class Passenger,3381£24,Cherbourg,,
5,"ABĪ SA'B, Mr Jirjis Yūsuf",45,3rd Class Passenger,2685£7 4s 6d,Cherbourg,Shoemaker,[312]
6,"ABĪ SHADĪD, Mr Dāhir",19,3rd Class Passenger,2698£7 4s 6d,Cherbourg,,[9]
7,"ABRAMS, Mr William Thomas",34,Engineering Crew,,Southampton,Fireman,
8,"ÅDAHL, Mr Mauritz",30,3rd Class Passenger,7076£7 5s,Southampton,Carpenter / Joiner,[72]
9,"ADAMS, Mr John",26,3rd Class Passenger,341826£8 1s,Southampton,,[103]
10,"ADAMS, Mr Robert John",26,Engineering Crew,,Southampton,Fireman,
11,"AHIER, Mr Percy Snowden",20,Victualling Crew,,Southampton,Saloon Steward,
12,"AHLIN, Mrs Johanna Persdotter",40,3rd Class Passenger,7546£9 9s 6d,Southampton,,
13,"AHMED, Mr Ali",24,3rd Class Passenger,3101311£7 1s,Southampton,General Labourer,
14,"ÄIJÖ-NIRVA, Mr Isakki Antonpoika",41,3rd Class Passenger,3101272£7 2s 6d,Southampton,General Labourer,
15,"AKERMAN, Mr Albert Edward",31,Victualling Crew,,Southampton,3rd Class Steward,
16,"AKERMAN, Mr Joseph Francis",37,Victualling Crew,,Southampton,Assistant Pantryman Steward,[205]
17,"AL-MUNÀ, Mr Farīd Husayn Qāsim",19,3rd Class Passenger,2700£7 4s 7d,Cherbourg,Farmer,
18,"ALDWORTH, Mr Augustus Henry",35,2nd Class PassengerServant,248744£13,Southampton,Chauffeur,
19,"ALEXANDER, Mr William Albert",24,3rd Class Passenger,3474£7 17s 9d,Southampton,General Labourer,
20,"ALHOMÄKI, Mr Ilmari Rudolf",19,3rd Class Passenger,3101287£7 18s 6d,Southampton,General Labourer,
21,"ALI, Mr William",25,3rd Class Passenger,3101312£7 1s,Southampton,General Labourer,[79]
22,"ALLARIA, Mr Battista Antonio",22,Restaurant Staff,,Southampton,Assistant Waiter,[221]
23,"ALLEN, Mr William Henry",39,3rd Class Passenger,373450£8 1s,Southampton,Tool Maker,
24,"ALLEN, Mr Henry",30,Engineering Crew,,Southampton,Fireman,[145]
25,"ALLEN, Mr George",26,Victualling Crew,,Southampton,Scullion,
26,"ALLEN, Mr Robert Spencer",35,Victualling Crew,,Southampton,Bedroom Steward (1st Class),
27,"ALLISON, Mr Hudson Joshua Creighton",30,1st Class Passenger,113781£151 16s,Southampton,Businessman,[135]
28,"ALLISON, Mrs Bess Waldo",25,1st Class Passenger,113781£151 16s,Southampton,,
29,"ALLISON, Miss Helen Loraine",2,1st Class Passenger,113781£151 16s,Southampton,,
30,"ALLSOP, Mr Alfred Samuel",36,Engineering Crew,,Belfast,2nd Electrician,
31,"ALLSOP, Mr Frank Richard",43,Victualling Crew,,Belfast,Saloon Steward,
32,"ALLUM, Mr Owen George",17,3rd Class Passenger,2223£8 6s,Southampton,Gardener,[259]
33,"ANDERSEN, Mr Albert Kaurin",33,3rd Class Passenger,4001£22 10s 6d,Southampton,Engineer,[260]
34,"ANDERSON, Mr Walter Yuill",50,Victualling Crew,,Southampton,Bed Room Steward,[146]
35,"ANDERSSON, Mr Johan Samuel",26,3rd Class Passenger,347075£7 15s 6d,Southampton,Carpenter / Joiner,
36,"ANDERSSON, Miss Ida Augusta Margareta",38,3rd Class Passenger,347091£7 15s 6d,Southampton,,
37,"ANDERSSON, Mr Anders Johan",39,3rd Class Passenger,347082£31 5s 6d,Southampton,General Labourer,
38,"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,3rd Class Passenger,347082£31 5s 6d,Southampton,,
39,"ANDERSSON, Miss Sigrid Elisabeth",11,3rd Class Passenger,347082£31 5s 6d,Southampton,,
40,"ANDERSSON, Miss Ingeborg Constanzia",9,3rd Class Passenger,347082£31 5s 6d,Southampton,,
